"Year","Recruitment","model"
1997,30206.6897981125,"Cold pool"
1998,14876.6216853012,"Cold pool"
1999,16137.6456361988,"Cold pool"
2000,24664.2697413079,"Cold pool"
2001,34439.7797846052,"Cold pool"
2002,23031.0730252256,"Cold pool"
2003,14420.5888055506,"Cold pool"
2004,6599.39375938978,"Cold pool"
2005,4693.5642117915,"Cold pool"
2006,11616.8604460728,"Cold pool"
2007,25039.5771949669,"Cold pool"
2008,13610.7248629255,"Cold pool"
2009,49649.1372045136,"Cold pool"
2010,23222.1113293547,"Cold pool"
2011,14259.3294922161,"Cold pool"
2012,12337.3998416883,"Cold pool"
2013,43463.5938222528,"Cold pool"
2014,49655.3025199551,"Cold pool"
2015,21277.0166297677,"Cold pool"
2016,8141.1954319573,"Cold pool"
2017,8229.25183058262,"Cold pool"
2018,17021.0411978696,"Cold pool"
2019,82755.7551918955,"Cold pool"
2020,20657.9699303907,"Cold pool"
2021,11014.8754142057,"Cold pool"
2022,10956.8559698448,"Cold pool"
2023,14943.4912163355,"Cold pool"
2024,16613.5736187082,"Cold pool"
1964,7708.02041735275,"Age-0 late-summer SST"
1965,25825.2211557808,"Age-0 late-summer SST"
1966,17894.6788145255,"Age-0 late-summer SST"
1967,28907.6774521727,"Age-0 late-summer SST"
1968,23607.1181371495,"Age-0 late-summer SST"
1969,26522.5331430167,"Age-0 late-summer SST"
1970,23028.5417113791,"Age-0 late-summer SST"
1971,13941.1071922564,"Age-0 late-summer SST"
1972,11224.9484198242,"Age-0 late-summer SST"
1973,24794.6430000342,"Age-0 late-summer SST"
1974,18074.9453894515,"Age-0 late-summer SST"
1975,15570.2497577952,"Age-0 late-summer SST"
1976,12522.5281553784,"Age-0 late-summer SST"
1977,13603.5065007165,"Age-0 late-summer SST"
1978,25874.1871402138,"Age-0 late-summer SST"
1979,61518.9002381287,"Age-0 late-summer SST"
1980,29499.9237260313,"Age-0 late-summer SST"
1981,33625.3650383562,"Age-0 late-summer SST"
1982,18934.9988545593,"Age-0 late-summer SST"
1983,51766.6494145725,"Age-0 late-summer SST"
1984,14156.0477960524,"Age-0 late-summer SST"
1985,32546.6914596853,"Age-0 late-summer SST"
1986,12752.8080535362,"Age-0 late-summer SST"
1987,7383.49120248394,"Age-0 late-summer SST"
1988,5717.13119599405,"Age-0 late-summer SST"
1989,11823.315611597,"Age-0 late-summer SST"
1990,50151.3574802902,"Age-0 late-summer SST"
1991,27139.4811861603,"Age-0 late-summer SST"
1992,23454.9772894288,"Age-0 late-summer SST"
1993,45816.040480015,"Age-0 late-summer SST"
1994,15819.5534767153,"Age-0 late-summer SST"
1995,11147.4800327678,"Age-0 late-summer SST"
1996,22569.8653575716,"Age-0 late-summer SST"
1997,30198.5701629639,"Age-0 late-summer SST"
1998,14860.264590304,"Age-0 late-summer SST"
1999,16118.2089910341,"Age-0 late-summer SST"
2000,24701.8641804289,"Age-0 late-summer SST"
2001,34444.6904904386,"Age-0 late-summer SST"
2002,23041.7388139342,"Age-0 late-summer SST"
2003,14421.0014534332,"Age-0 late-summer SST"
2004,6593.81866231367,"Age-0 late-summer SST"
2005,4684.38326680276,"Age-0 late-summer SST"
2006,11609.4658791791,"Age-0 late-summer SST"
2007,25044.3007273696,"Age-0 late-summer SST"
2008,13611.5535960409,"Age-0 late-summer SST"
2009,49680.8827229863,"Age-0 late-summer SST"
2010,23257.2955654079,"Age-0 late-summer SST"
2011,14289.914122123,"Age-0 late-summer SST"
2012,12362.7360506593,"Age-0 late-summer SST"
2013,43467.4866788853,"Age-0 late-summer SST"
2014,49591.2130592356,"Age-0 late-summer SST"
2015,21184.4122082087,"Age-0 late-summer SST"
2016,8089.53825984935,"Age-0 late-summer SST"
2017,8057.63679494147,"Age-0 late-summer SST"
2018,16686.8124401961,"Age-0 late-summer SST"
2019,80939.9343306021,"Age-0 late-summer SST"
2020,19916.4251005466,"Age-0 late-summer SST"
2021,10638.8437136148,"Age-0 late-summer SST"
2022,10636.9982240661,"Age-0 late-summer SST"
2023,14473.8117716116,"Age-0 late-summer SST"
2024,17347.0539731702,"Age-0 late-summer SST"
1964,7646.2372617877,"Cold pool + age-0 late-summer SST"
1965,25753.5769304831,"Cold pool + age-0 late-summer SST"
1966,17895.8287925762,"Cold pool + age-0 late-summer SST"
1967,28934.6207674717,"Cold pool + age-0 late-summer SST"
1968,23662.3804415486,"Cold pool + age-0 late-summer SST"
1969,26565.307655693,"Cold pool + age-0 late-summer SST"
1970,23034.3086106434,"Cold pool + age-0 late-summer SST"
1971,13909.3323594725,"Cold pool + age-0 late-summer SST"
1972,11194.1223258792,"Cold pool + age-0 late-summer SST"
1973,24796.6104815898,"Cold pool + age-0 late-summer SST"
1974,18078.4783606966,"Cold pool + age-0 late-summer SST"
1975,15566.6916091107,"Cold pool + age-0 late-summer SST"
1976,12517.845834684,"Cold pool + age-0 late-summer SST"
1977,13608.0917456271,"Cold pool + age-0 late-summer SST"
1978,25895.549694022,"Cold pool + age-0 late-summer SST"
1979,61563.6148080483,"Cold pool + age-0 late-summer SST"
1980,29531.5161906979,"Cold pool + age-0 late-summer SST"
1981,33650.82962291,"Cold pool + age-0 late-summer SST"
1982,18938.7609901024,"Cold pool + age-0 late-summer SST"
1983,51777.7895934195,"Cold pool + age-0 late-summer SST"
1984,14123.5396188343,"Cold pool + age-0 late-summer SST"
1985,32522.330451041,"Cold pool + age-0 late-summer SST"
1986,12737.6120572222,"Cold pool + age-0 late-summer SST"
1987,7406.3777253746,"Cold pool + age-0 late-summer SST"
1988,5717.22033283075,"Cold pool + age-0 late-summer SST"
1989,11834.4769645499,"Cold pool + age-0 late-summer SST"
1990,50150.4459929716,"Cold pool + age-0 late-summer SST"
1991,27136.3168102345,"Cold pool + age-0 late-summer SST"
1992,23440.7080081239,"Cold pool + age-0 late-summer SST"
1993,45816.0493256621,"Cold pool + age-0 late-summer SST"
1994,15809.1312294533,"Cold pool + age-0 late-summer SST"
1995,11143.2431747731,"Cold pool + age-0 late-summer SST"
1996,22577.563786734,"Cold pool + age-0 late-summer SST"
1997,30197.7835286254,"Cold pool + age-0 late-summer SST"
1998,14862.1985388242,"Cold pool + age-0 late-summer SST"
1999,16101.9663822004,"Cold pool + age-0 late-summer SST"
2000,24704.4837542401,"Cold pool + age-0 late-summer SST"
2001,34447.3813121246,"Cold pool + age-0 late-summer SST"
2002,23050.7327515065,"Cold pool + age-0 late-summer SST"
2003,14430.0726263231,"Cold pool + age-0 late-summer SST"
2004,6598.55847545023,"Cold pool + age-0 late-summer SST"
2005,4687.60933171816,"Cold pool + age-0 late-summer SST"
2006,11605.7209572319,"Cold pool + age-0 late-summer SST"
2007,25036.9449623026,"Cold pool + age-0 late-summer SST"
2008,13598.9645459331,"Cold pool + age-0 late-summer SST"
2009,49671.8767368754,"Cold pool + age-0 late-summer SST"
2010,23255.5680526852,"Cold pool + age-0 late-summer SST"
2011,14294.7760696169,"Cold pool + age-0 late-summer SST"
2012,12354.629501487,"Cold pool + age-0 late-summer SST"
2013,43466.9386245961,"Cold pool + age-0 late-summer SST"
2014,49603.7757633715,"Cold pool + age-0 late-summer SST"
2015,21193.4016887001,"Cold pool + age-0 late-summer SST"
2016,8106.75150886426,"Cold pool + age-0 late-summer SST"
2017,8061.95208855329,"Cold pool + age-0 late-summer SST"
2018,16751.315978023,"Cold pool + age-0 late-summer SST"
2019,81208.9036938206,"Cold pool + age-0 late-summer SST"
2020,19985.7782275476,"Cold pool + age-0 late-summer SST"
2021,10703.9176186497,"Cold pool + age-0 late-summer SST"
2022,10663.5143404411,"Cold pool + age-0 late-summer SST"
2023,14484.1929305729,"Cold pool + age-0 late-summer SST"
2024,17691.9569624437,"Cold pool + age-0 late-summer SST"
