Stock,Alt,Sim,Year,SSB,Rec,Tot_biom,SPR_Implied,F,Ntot,Catch,ABC,OFL,AvgAge,AvgAgeTot,SexRatio,B100,B40,B35,Scenario
EBS_Pollock_2024,2,8,2027,2648.83,21626.3,10194.5,0.465609,0.20639,8897.34,1300,1643.97,1974.11,4.60659,2.41269,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,8,2028,2456.08,23390.2,9754.93,0.456879,0.213672,8354.31,1300,1592.17,1901.03,4.83608,2.20593,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,8,2029,2136.67,15211.2,9514.6,0.424956,0.242883,7211.89,1300,1282.47,1522.13,4.40513,2.39906,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,8,2030,1838.37,11378.8,9086.42,0.377699,0.295426,6726.65,1300,957.739,1144,3.78458,2.58808,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,8,2031,1840.3,8879.14,8819.7,0.374968,0.298882,7121.14,1300,942.955,1130.63,3.8148,2.77428,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,8,2032,1887.35,42999.1,8138.68,0.398676,0.270521,7222.56,1300,1050.72,1255.47,4.10033,1.70473,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,9,2025,3274.81,24874.7,12018.2,0.524394,0.163703,10905.3,1300,2024.92,2428.09,4.98892,2.39904,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,9,2026,2883.61,25551.7,11686.7,0.479905,0.195044,9497.26,1300,1729.23,2075.7,4.69258,2.30139,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,9,2027,2652.43,47550.3,11895.5,0.467194,0.205098,8928.16,1300,1653.56,1985.96,4.29191,1.89285,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,9,2028,2573.92,62610.9,13427.2,0.469308,0.203388,9119.85,1300,1665.91,2000.66,4.02094,1.77348,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,9,2029,2648.68,15260.5,16391.4,0.48135,0.193935,9751.39,1300,1741.4,2093.68,3.51461,2.50733,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,9,2030,3034.72,12608.8,17396.4,0.517071,0.168491,12011.4,1300,1984.45,2389.01,3.25051,2.97626,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,9,2031,4002.7,19936.5,17814.6,0.583683,0.129318,16100.4,1300,2546.06,3068.32,3.88626,2.91788,0.5,5977.95,2391.18,2092.28,2
