"Year","Recruitment","model"
2004,6599.79907778865,"Random candidate-1 substitute"
2005,4700.97381219261,"Random candidate-1 substitute"
2006,11612.2150971056,"Random candidate-1 substitute"
2007,25024.0420323281,"Random candidate-1 substitute"
2008,13615.1162651179,"Random candidate-1 substitute"
2009,49630.1314408217,"Random candidate-1 substitute"
2010,23205.6716042816,"Random candidate-1 substitute"
2011,14273.662463856,"Random candidate-1 substitute"
2012,12327.5421535867,"Random candidate-1 substitute"
2013,43470.644196285,"Random candidate-1 substitute"
2014,49666.5245982423,"Random candidate-1 substitute"
2015,21294.4784561495,"Random candidate-1 substitute"
2016,8142.21165060971,"Random candidate-1 substitute"
2017,8242.88101121807,"Random candidate-1 substitute"
2018,17061.8321121896,"Random candidate-1 substitute"
2019,82940.6404322264,"Random candidate-1 substitute"
2020,20718.732925944,"Random candidate-1 substitute"
2021,11053.7182006296,"Random candidate-1 substitute"
2022,10879.9273160913,"Random candidate-1 substitute"
2023,14943.2477746384,"Random candidate-1 substitute"
2024,16702.6346013874,"Random candidate-1 substitute"
1964,7702.09717179005,"Random candidate-2 substitute"
1965,26013.2608303394,"Random candidate-2 substitute"
1966,17841.2755425037,"Random candidate-2 substitute"
1967,28895.4936324876,"Random candidate-2 substitute"
1968,23487.5357621934,"Random candidate-2 substitute"
1969,26471.7651230916,"Random candidate-2 substitute"
1970,23045.5908278351,"Random candidate-2 substitute"
1971,13954.5219287853,"Random candidate-2 substitute"
1972,11221.4831460019,"Random candidate-2 substitute"
1973,24860.1732295298,"Random candidate-2 substitute"
1974,18086.7775339822,"Random candidate-2 substitute"
1975,15582.8686571774,"Random candidate-2 substitute"
1976,12522.2942035677,"Random candidate-2 substitute"
1977,13582.5223912528,"Random candidate-2 substitute"
1978,25831.7747568514,"Random candidate-2 substitute"
1979,61434.7503018122,"Random candidate-2 substitute"
1980,29423.5397009978,"Random candidate-2 substitute"
1981,33561.7538725578,"Random candidate-2 substitute"
1982,18960.2213103264,"Random candidate-2 substitute"
1983,51836.1568671693,"Random candidate-2 substitute"
1984,14252.8740764493,"Random candidate-2 substitute"
1985,32614.0432632065,"Random candidate-2 substitute"
1986,12758.6038093408,"Random candidate-2 substitute"
1987,7296.02314308236,"Random candidate-2 substitute"
1988,5709.38181328313,"Random candidate-2 substitute"
1989,11799.2604308875,"Random candidate-2 substitute"
1990,50126.6972144306,"Random candidate-2 substitute"
1991,27106.5683228694,"Random candidate-2 substitute"
1992,23490.1543123258,"Random candidate-2 substitute"
1993,45871.2210289884,"Random candidate-2 substitute"
1994,15853.7392095696,"Random candidate-2 substitute"
1995,11124.8701104754,"Random candidate-2 substitute"
1996,22564.7162732319,"Random candidate-2 substitute"
1997,30254.2529047589,"Random candidate-2 substitute"
1998,14888.0597046324,"Random candidate-2 substitute"
1999,16134.0515386528,"Random candidate-2 substitute"
2000,24669.148561041,"Random candidate-2 substitute"
2001,34425.9797916878,"Random candidate-2 substitute"
2002,23039.2200794389,"Random candidate-2 substitute"
2003,14432.3578896926,"Random candidate-2 substitute"
2004,6602.76666222993,"Random candidate-2 substitute"
2005,4686.82810439728,"Random candidate-2 substitute"
2006,11600.7740881235,"Random candidate-2 substitute"
2007,25045.4258444196,"Random candidate-2 substitute"
2008,13604.3781119195,"Random candidate-2 substitute"
2009,49624.5596592968,"Random candidate-2 substitute"
2010,23220.0759107268,"Random candidate-2 substitute"
2011,14219.7393822487,"Random candidate-2 substitute"
2012,12320.2911958088,"Random candidate-2 substitute"
2013,43429.6966338939,"Random candidate-2 substitute"
2014,49654.0899523396,"Random candidate-2 substitute"
2015,21284.9927659518,"Random candidate-2 substitute"
2016,8161.52924629738,"Random candidate-2 substitute"
2017,8281.52891974893,"Random candidate-2 substitute"
2018,16993.2768773358,"Random candidate-2 substitute"
2019,82782.1347927298,"Random candidate-2 substitute"
2020,20650.8001319594,"Random candidate-2 substitute"
2021,10944.6915783267,"Random candidate-2 substitute"
2022,10896.4768008354,"Random candidate-2 substitute"
2023,14895.1697243709,"Random candidate-2 substitute"
2024,16647.0262952015,"Random candidate-2 substitute"
1964,7718.38097943504,"Both random substitutes"
1965,26071.3365576768,"Both random substitutes"
1966,17868.4808420813,"Both random substitutes"
1967,28938.8447140846,"Both random substitutes"
1968,23506.5668996365,"Both random substitutes"
1969,26483.8167324285,"Both random substitutes"
1970,23047.066009961,"Both random substitutes"
1971,13952.4143473962,"Both random substitutes"
1972,11215.3246109889,"Both random substitutes"
1973,24835.6195046727,"Both random substitutes"
1974,18068.9566173783,"Both random substitutes"
1975,15570.5674539207,"Both random substitutes"
1976,12515.8313245385,"Both random substitutes"
1977,13577.3976670165,"Both random substitutes"
1978,25825.644310588,"Both random substitutes"
1979,61422.7678419292,"Both random substitutes"
1980,29413.0763864837,"Both random substitutes"
1981,33550.8137648749,"Both random substitutes"
1982,18876.6189192596,"Both random substitutes"
1983,51842.3464282492,"Both random substitutes"
1984,14257.66639406,"Both random substitutes"
1985,32660.7506546687,"Both random substitutes"
1986,12782.3142191624,"Both random substitutes"
1987,7280.98483952224,"Both random substitutes"
1988,5682.96153330424,"Both random substitutes"
1989,11801.8873383459,"Both random substitutes"
1990,50108.2514327887,"Both random substitutes"
1991,27111.3460639655,"Both random substitutes"
1992,23479.3265253963,"Both random substitutes"
1993,45863.7783136444,"Both random substitutes"
1994,15869.3560725896,"Both random substitutes"
1995,11132.0400241972,"Both random substitutes"
1996,22554.9919552285,"Both random substitutes"
1997,30271.1440507101,"Both random substitutes"
1998,14893.6572222341,"Both random substitutes"
1999,16119.1231609775,"Both random substitutes"
2000,24658.3135360327,"Both random substitutes"
2001,34435.2271507609,"Both random substitutes"
2002,23059.2986334035,"Both random substitutes"
2003,14441.4639439897,"Both random substitutes"
2004,6599.99600619013,"Both random substitutes"
2005,4691.8538741469,"Both random substitutes"
2006,11597.2199944202,"Both random substitutes"
2007,25034.0703048281,"Both random substitutes"
2008,13616.7437943416,"Both random substitutes"
2009,49612.1147967297,"Both random substitutes"
2010,23207.0754784317,"Both random substitutes"
2011,14234.1121631301,"Both random substitutes"
2012,12317.1287022729,"Both random substitutes"
2013,43436.5454973837,"Both random substitutes"
2014,49650.6453497488,"Both random substitutes"
2015,21288.0750254817,"Both random substitutes"
2016,8147.10482972335,"Both random substitutes"
2017,8276.38077885869,"Both random substitutes"
2018,16958.9778704664,"Both random substitutes"
2019,82607.2895823171,"Both random substitutes"
2020,20591.156602304,"Both random substitutes"
2021,10898.3828933306,"Both random substitutes"
2022,10766.1730168507,"Both random substitutes"
2023,14837.7065635752,"Both random substitutes"
2024,16601.2512036769,"Both random substitutes"
