Terminal_year,Year,Estimate,Standard_error,Lower_2SD,Upper_2SD
2017,2001,3156.6100412403916,99.4326769617949,2957.744687316802,3355.4753951639814
2017,2002,2944.016311466701,93.21614534092623,2757.5840207848487,3130.4486021485536
2017,2003,2967.34101014873,89.40254819691616,2788.535913754898,3146.1461065425624
2017,2004,3270.4424967870586,94.27118651827203,3081.9001237505145,3458.984869823603
2017,2005,2890.072631996572,86.11042886172771,2717.8517742731165,3062.2934897200275
2017,2006,2666.3709812995153,85.51303458378233,2495.3449121319504,2837.39705046708
2017,2007,2227.301558868529,81.53929368164762,2064.2229715052335,2390.3801462318243
2017,2008,1749.3255206168537,74.1274375183928,1601.0706455800682,1897.5803956536392
2017,2009,1879.3369726110702,81.69914118993987,1715.9386902311905,2042.73525499095
2017,2010,1955.6790073987097,87.0906345795668,1781.4977382395762,2129.8602765578435
2017,2011,2532.822084658182,114.91708492936974,2302.9879147994425,2762.6562545169218
2017,2012,3287.4655031130496,162.0956319103805,2963.2742392922887,3611.6567669338106
2017,2013,3911.982525313055,216.34447063638655,3479.2935840402815,4344.671466585828
2017,2014,3995.6616847587266,253.7435344353654,3488.174615887996,4503.148753629457
2017,2015,4061.3061805928983,303.6160699083852,3454.0740407761277,4668.538320409669
2017,2016,4446.064323967305,392.60155695269293,3660.8612100619193,5231.2674378726915
2017,2017,4761.63313492922,484.48764193762213,3792.657851053976,5730.608418804464
2018,1964,1330.6814266366778,277.03502626793653,776.6113741008047,1884.7514791725507
2018,1965,1362.9327333472338,276.6409682529994,809.650796841235,1916.2146698532326
2018,1966,1389.672257472395,288.2978437728298,813.0765699267353,1966.2679450180544
2018,1967,1504.2360543240018,305.44048604544645,893.3550822331089,2115.1170264148946
2018,1968,1674.1442662634217,343.5316294056554,987.081007452111,2361.2075250747325
2018,1969,1899.0784398448807,378.69757730941075,1141.683285226059,2656.4735944637023
2018,1970,2011.5985992132494,383.3600044310893,1244.8785903510707,2778.318608075428
2018,1971,2125.005213119843,395.3652992229337,1334.2746146739757,2915.7358115657107
2018,1972,1987.915098346222,365.3382824728263,1257.2385334005694,2718.5916632918747
2018,1973,1708.9921413544248,335.78740481731626,1037.4173317197924,2380.566950989057
2018,1974,1307.390546872321,296.02434028205494,715.3418663082111,1899.4392274364309
2018,1975,1219.1555239695947,267.5232304510579,684.1090630674789,1754.2019848717105
2018,1976,1147.4479167260051,204.97669859724593,737.4945195315133,1557.401313920497
2018,1977,1350.648807797024,199.37615184540797,951.8965041062079,1749.40111148784
2018,1978,1214.2611243614836,165.64798539239007,882.9651535767034,1545.5570951462637
2018,1979,1136.5965977770866,142.4810061368201,851.6345855034464,1421.5586100507267
2018,1980,1364.4049864504782,137.2900656690601,1089.824855112358,1638.9851177885985
2018,1981,2073.2765799057065,141.08422375209335,1791.10813240152,2355.445027409893
2018,1982,2852.8993971478935,164.51921282981493,2523.8609714882637,3181.9378228075234
2018,1983,3789.168002530952,207.53080900267145,3374.106384525609,4204.2296205362945
2018,1984,3905.2890773791123,211.1112262205665,3483.066624937979,4327.511529820245
2018,1985,4429.474952865604,212.59601073362342,4004.282931398357,4854.666974332851
2018,1986,4299.395028853739,188.33971605014995,3922.715596753439,4676.074460954039
2018,1987,4312.185986213296,166.98699808646512,3978.211990040366,4646.159982386226
2018,1988,4063.4969821770696,142.94385628720892,3777.6092696026517,4349.384694751488
2018,1989,3529.8313382199894,125.25825042494503,3279.314837370099,3780.3478390698797
2018,1990,3015.32185435058,115.28142350407562,2784.759007342429,3245.884701358731
2018,1991,2461.2891332979007,105.75933900024805,2249.7704552974046,2672.8078112983967
2018,1992,2334.957497178559,92.81107707492389,2149.3353430287116,2520.5796513284067
2018,1993,3024.4207905724015,104.72832002351636,2814.964150525369,3233.877430619434
2018,1994,3500.933233766126,117.73458143120858,3265.4640709037085,3736.402396628543
2018,1995,3747.4494125618708,122.63898816226686,3502.171436237337,3992.7273888864047
2018,1996,3690.6308902553637,120.73629784604717,3449.1582945632695,3932.103485947458
2018,1997,3598.7509920154084,120.57997409631854,3357.5910438227716,3839.9109402080453
2018,1998,3069.0093419237814,104.57687541398988,2859.8555910958016,3278.1630927517613
2018,1999,3193.23889577167,103.47318943458772,2986.2925169024943,3400.1852746408454
2018,2000,3068.314047619699,96.35487080713342,2875.604306005432,3261.023789233966
2018,2001,3110.4963107293197,97.39615655979948,2915.7039976097208,3305.2886238489186
2018,2002,2898.7219010996346,91.18583338554691,2716.350234328541,3081.0935678707283
2018,2003,2922.163775729958,87.33477109824153,2747.494233533475,3096.8333179264414
2018,2004,3222.691695370205,92.05514098663627,3038.5814133969325,3406.801977343477
2018,2005,2845.6681706565573,83.89779374220365,2677.87258317215,3013.4637581409647
2018,2006,2621.3088554379624,82.96870201778944,2455.3714514023836,2787.246259473541
2018,2007,2183.065615998406,78.59957104567681,2025.8664739070523,2340.2647580897597
2018,2008,1706.4146550508558,70.74338848958666,1564.9278780716825,1847.9014320300291
2018,2009,1821.4572893905386,76.44088962824611,1668.5755101340465,1974.3390686470307
2018,2010,1879.9522412075253,79.57072743870502,1720.8107863301152,2039.0936960849353
2018,2011,2385.6807471091843,101.00661053801609,2183.667526033152,2587.6939681852164
2018,2012,3034.1896970644384,136.01660902152534,2762.156479021388,3306.222915107489
2018,2013,3574.528697127345,176.48413197771836,3221.5604331719082,3927.4969610827816
2018,2014,3647.280592090478,205.46329401606818,3236.3540040583416,4058.2071801226143
2018,2015,3638.275956410355,233.99016718476136,3170.2956220408323,4106.256290779877
2018,2016,3964.910522328209,295.90897734578743,3373.092567636634,4556.728477019784
2018,2017,4243.648597339689,368.4239035198727,3506.800790299944,4980.496404379434
2018,2018,3745.353666802691,379.3344485807105,2986.6847696412697,4504.022563964112
2019,1964,1330.695700434395,276.26334599651204,778.1690084413708,1883.222392427419
2019,1965,1361.3621103509417,275.43378747135336,810.494535408235,1912.2296852936483
2019,1966,1387.0320003705167,286.75463207865704,813.5227362132026,1960.5412645278307
2019,1967,1500.712070786634,303.66768757896654,893.376695628701,2108.0474459445672
2019,1968,1669.704446240434,341.54729731024827,986.6098516199374,2352.7990408609303
2019,1969,1893.6605755079595,376.54317226968624,1140.574230968587,2646.746920047332
2019,1970,2005.3951903413035,381.1556594141754,1243.0838715129528,2767.706509169654
2019,1971,2117.569850385834,392.9784660987631,1331.6129181883077,2903.52678258336
2019,1972,1979.4491970672211,362.8021888766841,1253.844819313853,2705.0535748205893
2019,1973,1699.4080457855778,333.04905121358667,1033.3099433584043,2365.506148212751
2019,1974,1296.9494774273292,293.1274737693649,710.6945298885994,1883.204424966059
2019,1975,1205.6731421311242,263.90948614861134,677.8541698339016,1733.492114428347
2019,1976,1130.228000275145,200.70353801541413,728.8209242443168,1531.6350763059731
2019,1977,1322.6867350394643,193.33083924398736,936.0250565514896,1709.348413527439
2019,1978,1180.273610405019,159.21762448606134,861.8383614328964,1498.7088593771418
2019,1979,1095.05809463038,135.84893015488555,823.3602343206089,1366.7559549401512
2019,1980,1307.1687872017317,130.33653194245736,1046.495723316817,1567.8418510866463
2019,1981,1993.5249976119637,134.61993743278467,1724.2851227463943,2262.764872477533
2019,1982,2757.571051059983,158.63779105566977,2440.2954689486432,3074.8466331713225
2019,1983,3688.161957077468,201.3850007768825,3285.391955523703,4090.9319586312326
2019,1984,3821.5681399573277,205.74809751489695,3410.071944927534,4233.064334987122
2019,1985,4357.776310843995,208.1360661791382,3941.5041784857185,4774.048443202271
2019,1986,4241.902075450553,185.02604423605501,3871.8499869784428,4611.954163922663
