scenario,year,quantity,value
Prior BTSProp ages for 1982-2024,1965,recruitment_age1,20867.1
Prior BTSProp ages for 1982-2024,1965,predicted_catch,231.408
Prior BTSProp ages for 1982-2024,1966,spawning_biomass,712.99
Prior BTSProp ages for 1982-2024,1966,recruitment_age1,14986.8
Prior BTSProp ages for 1982-2024,1966,predicted_catch,262.928
Prior BTSProp ages for 1982-2024,1967,spawning_biomass,896.684
Prior BTSProp ages for 1982-2024,1967,recruitment_age1,25459.1
Prior BTSProp ages for 1982-2024,1967,predicted_catch,551.653
Prior BTSProp ages for 1982-2024,1968,spawning_biomass,1112.9
Prior BTSProp ages for 1982-2024,1968,recruitment_age1,22078.9
Prior BTSProp ages for 1982-2024,1968,predicted_catch,704.134
Prior BTSProp ages for 1982-2024,1969,spawning_biomass,1306.8
Prior BTSProp ages for 1982-2024,1969,recruitment_age1,26130.4
Prior BTSProp ages for 1982-2024,1969,predicted_catch,865.496
Prior BTSProp ages for 1982-2024,1970,spawning_biomass,1580.66
Prior BTSProp ages for 1982-2024,1970,recruitment_age1,23490.3
Prior BTSProp ages for 1982-2024,1970,predicted_catch,1256.22
Prior BTSProp ages for 1982-2024,1971,spawning_biomass,1676.81
Prior BTSProp ages for 1982-2024,1971,recruitment_age1,14391.5
Prior BTSProp ages for 1982-2024,1971,predicted_catch,1733.55
Prior BTSProp ages for 1982-2024,1972,spawning_biomass,1631.02
Prior BTSProp ages for 1982-2024,1972,recruitment_age1,11736.9
Prior BTSProp ages for 1982-2024,1972,predicted_catch,1862.16
Prior BTSProp ages for 1982-2024,1973,spawning_biomass,1390.08
Prior BTSProp ages for 1982-2024,1973,recruitment_age1,26785.5
Prior BTSProp ages for 1982-2024,1973,predicted_catch,1749.27
Prior BTSProp ages for 1982-2024,1974,spawning_biomass,1181.37
Prior BTSProp ages for 1982-2024,1974,recruitment_age1,19412.2
Prior BTSProp ages for 1982-2024,1974,predicted_catch,1584.84
Prior BTSProp ages for 1982-2024,1975,spawning_biomass,954.635
Prior BTSProp ages for 1982-2024,1975,recruitment_age1,16470.9
Prior BTSProp ages for 1982-2024,1975,predicted_catch,1354.31
Prior BTSProp ages for 1982-2024,1976,spawning_biomass,1092.5
Prior BTSProp ages for 1982-2024,1976,recruitment_age1,12655.6
Prior BTSProp ages for 1982-2024,1976,predicted_catch,1177.11
Prior BTSProp ages for 1982-2024,1977,spawning_biomass,997.922
Prior BTSProp ages for 1982-2024,1977,recruitment_age1,13334.5
Prior BTSProp ages for 1982-2024,1977,predicted_catch,978.211
Prior BTSProp ages for 1982-2024,1978,spawning_biomass,962.204
Prior BTSProp ages for 1982-2024,1978,recruitment_age1,24422.5
Prior BTSProp ages for 1982-2024,1978,predicted_catch,979.022
Prior BTSProp ages for 1982-2024,1979,spawning_biomass,990.835
Prior BTSProp ages for 1982-2024,1979,recruitment_age1,56968.5
Prior BTSProp ages for 1982-2024,1979,predicted_catch,935.749
Prior BTSProp ages for 1982-2024,1980,spawning_biomass,1050.11
Prior BTSProp ages for 1982-2024,1980,recruitment_age1,27114.8
Prior BTSProp ages for 1982-2024,1980,predicted_catch,959.876
Prior BTSProp ages for 1982-2024,1981,spawning_biomass,1505.85
Prior BTSProp ages for 1982-2024,1981,recruitment_age1,31708.6
Prior BTSProp ages for 1982-2024,1981,predicted_catch,975.926
Prior BTSProp ages for 1982-2024,1982,spawning_biomass,2442.8
Prior BTSProp ages for 1982-2024,1982,recruitment_age1,18128
Prior BTSProp ages for 1982-2024,1982,predicted_catch,952.984
Prior BTSProp ages for 1982-2024,1983,spawning_biomass,2911.55
Prior BTSProp ages for 1982-2024,1983,recruitment_age1,50704.9
Prior BTSProp ages for 1982-2024,1983,predicted_catch,975.396
Prior BTSProp ages for 1982-2024,1984,spawning_biomass,3327.64
Prior BTSProp ages for 1982-2024,1984,recruitment_age1,13898.5
Prior BTSProp ages for 1982-2024,1984,predicted_catch,1086.19
Prior BTSProp ages for 1982-2024,1985,spawning_biomass,3396.35
Prior BTSProp ages for 1982-2024,1985,recruitment_age1,32343.1
Prior BTSProp ages for 1982-2024,1985,predicted_catch,1130.33
Prior BTSProp ages for 1982-2024,1986,spawning_biomass,3549.25
Prior BTSProp ages for 1982-2024,1986,recruitment_age1,12511.8
Prior BTSProp ages for 1982-2024,1986,predicted_catch,1130.69
Prior BTSProp ages for 1982-2024,1987,spawning_biomass,3541.69
Prior BTSProp ages for 1982-2024,1987,recruitment_age1,7086.68
Prior BTSProp ages for 1982-2024,1987,predicted_catch,853.472
Prior BTSProp ages for 1982-2024,1988,spawning_biomass,3435.82
Prior BTSProp ages for 1982-2024,1988,recruitment_age1,5446.18
Prior BTSProp ages for 1982-2024,1988,predicted_catch,1214.03
Prior BTSProp ages for 1982-2024,1989,spawning_biomass,3262.28
Prior BTSProp ages for 1982-2024,1989,recruitment_age1,11398
Prior BTSProp ages for 1982-2024,1989,predicted_catch,1214.15
Prior BTSProp ages for 1982-2024,1990,spawning_biomass,2795.45
Prior BTSProp ages for 1982-2024,1990,recruitment_age1,49459
Prior BTSProp ages for 1982-2024,1990,predicted_catch,1432.46
Prior BTSProp ages for 1982-2024,1991,spawning_biomass,2036.05
Prior BTSProp ages for 1982-2024,1991,recruitment_age1,26386.5
Prior BTSProp ages for 1982-2024,1991,predicted_catch,1177.96
Prior BTSProp ages for 1982-2024,1992,spawning_biomass,2237.82
