"term","estimate","std.error","gradient","estimation_type","module","year","age","engine","model","statistic","p.value"
"larv_rec_devs[29]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[30]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[31]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[32]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[33]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[34]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[35]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[36]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[37]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[38]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[39]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[40]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[41]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[42]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[43]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[44]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[45]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[46]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[47]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[48]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[49]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[50]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[51]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[52]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[53]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[54]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[55]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[56]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[57]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[58]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[59]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[60]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[61]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
