Alt,Year,B,Catch,ABC,OFL,F,B_B35_percent
4,2034,3535.30578,1055.403708,1055.403708,2825.722291,0.146054,167.24012753617706
4,2035,3568.67176,1068.039783,1068.039783,2859.016353,0.146054,168.81852869800514
4,2036,3580.43198,1074.617352,1074.617352,2875.42852,0.146054,169.3748541801685
4,2037,3587.53598,1077.931705,1077.931705,2886.078458,0.146054,169.7109138988888
4,2038,3607.59675,1080.659508,1080.659508,2895.3674929999997,0.146054,170.65990273947332
5,2025,3516.37,1350,0,2878.31,0.187761,166.34435713914027
5,2026,2985.78132,1350,0,2570.31569,0.210052212,141.24448628371124
5,2027,2725.57769,0,0,2259.04877,0,128.93537047461814
5,2028,3034.4683,0,0,2455.22185,0,143.54765813114088
5,2029,3487.74855,0,0,2721.70924,0,164.9903993074445
5,2030,3944.68314,0,0,3066.24662,0,186.6060116088197
5,2031,4363.27898,0,0,3413.13568,0,206.40798236443368
5,2032,4730.48034,0,0,3724.22049,0,223.77870107998925
5,2033,5038.56664,0,0,4002.17085,0,238.3529402860103
5,2034,5269.99313,0,0,4218.94615,0,249.30073323840656
5,2035,5451.60375,0,0,4373.78003,0,257.8919514075812
5,2036,5584.78169,0,0,4491.45732,0,264.1920275697641
5,2037,5690.34309,0,0,4582.42543,0,269.1856838749048
5,2038,5786.63038,0,0,4652.03942,0,273.74062188078017
6,2025,3516.37,1350,2878.31,2878.31,0.187761,166.34435713914027
6,2026,2798.86,2570.31569,2570.31569,2570.31569,0.450352,132.40204171416948
6,2027,2016.82974,1560.68323,1560.68323,1560.68323,0.372066406,95.40754999030234
6,2028,1830.69039,1210.006475,1210.006475,1210.006475,0.335055604,86.60209706184276
6,2029,1972.48103,1310.773783,1310.773783,1310.773783,0.353456768,93.30960305784069
6,2030,2131.78946,1477.391168,1477.391168,1477.391168,0.372195536,100.84580043615858
6,2031,2224.92333,1596.543315,1596.543315,1596.543315,0.38434969999999996,105.25156369003412
6,2032,2277.98129,1662.916228,1662.916228,1662.916228,0.390017509,107.76150782199811
6,2033,2296.00891,1683.145099,1683.145099,1683.145099,0.389993088,108.61431707120927
6,2034,2282.22872,1674.014879,1674.014879,1674.014879,0.388063768,107.96243548684666
6,2035,2271.79012,1665.814413,1665.814413,1665.814413,0.388240718,107.46863016873944
6,2036,2257.90559,1651.807554,1651.807554,1651.807554,0.386760923,106.81181270725813
6,2037,2253.23737,1646.927785,1646.927785,1646.927785,0.38625065,106.59097927537124
6,2038,2267.37003,1650.680492,1650.680492,1650.680492,0.38562958,107.25953470109893
7,2025,3516.37,1350,2878.31,2878.31,0.187761,166.34435713914027
7,2026,2872.29,2116.2876,2570.31569,2570.31569,0.35387,135.8756995330927
7,2027,2210.51794,1509.19131,1808.87927,1808.87927,0.32217972,104.57010657975032
7,2028,1977.0187,1423.87062,1423.87062,1423.87062,0.363346911,93.52426073011624
7,2029,2025.45177,1383.907946,1383.907946,1383.907946,0.362495583,95.81542118633244
7,2030,2148.12545,1500.926902,1500.926902,1500.926902,0.374673455,101.61858593790653
7,2031,2228.41754,1602.120217,1602.120217,1602.120217,0.384836633,105.4168597527804
7,2032,2277.84741,1662.968209,1662.968209,1662.968209,0.390006773,107.75517453439363
7,2033,2295.39784,1682.26348,1682.26348,1682.26348,0.389920632,108.58540997488069
7,2034,2281.86116,1673.44228,1673.44228,1673.44228,0.38801944,107.94504780241354
7,2035,2271.63316,1665.567308,1665.567308,1665.567308,0.38822161,107.46120506549475
7,2036,2257.85135,1651.723773,1651.723773,1651.723773,0.386754501,106.80924684589222
7,2037,2253.22109,1646.903442,1646.903442,1646.903442,0.386248733,106.59020913851585
7,2038,2267.36574,1650.675485,1650.675485,1650.675485,0.385629128,107.25933175963027
